"","groupName","activeTouch","timeStamp","C"
"415","A",0,"6/5/16 14:20",0
"416","A",0,"6/5/16 14:32",0
"417","B",0,"6/5/16 14:45",0
"418","A",0,"6/5/16 15:02",1
"419","B",0,"6/5/16 15:18",0
"420","B",0,"6/5/16 15:36",0
"421","B",0,"6/5/16 15:48",0
"422","A",0,"6/5/16 16:25",0
"423","A",0,"6/5/16 16:36",0
"424","A",0,"6/5/16 16:50",0
"425","A",0,"6/5/16 17:04",0
"426","B",0,"6/5/16 17:15",0
"427","B",0,"6/5/16 17:28",0
"428","A",0,"6/5/16 17:39",0
"429","A",0,"6/5/16 17:39",0
"430","A",0,"6/5/16 17:41",0
"431","B",0,"6/5/16 17:42",0
"432","A",0,"6/5/16 17:43",0
"433","A",0,"6/5/16 17:44",0
"434","A",0,"6/5/16 17:55",0
"435","B",1,"6/5/16 17:56",0
"436","A",0,"6/5/16 17:58",0
"437","A",0,"6/5/16 18:06",0
"438","A",0,"6/5/16 18:27",0
"439","B",0,"6/5/16 18:28",0
"440","A",0,"6/5/16 18:33",0
"441","A",1,"6/5/16 18:49",0
"442","B",0,"6/5/16 18:51",0
"443","B",0,"6/5/16 18:58",0
"444","B",0,"6/5/16 18:59",0
"445","B",1,"6/5/16 19:04",0
"446","A",0,"6/5/16 19:14",0
"447","B",0,"6/5/16 19:19",0
"448","A",0,"6/5/16 19:22",0
"449","B",0,"6/5/16 19:24",1
"450","B",0,"6/5/16 19:32",0
"451","A",0,"6/5/16 19:34",0
"452","A",0,"6/5/16 19:40",0
"453","A",0,"6/5/16 19:43",0
"454","B",0,"6/5/16 19:49",0
"455","A",0,"6/5/16 19:49",0
"456","A",0,"6/5/16 19:49",0
"457","A",0,"6/5/16 19:54",0
"458","B",0,"6/5/16 20:04",0
"459","B",0,"6/5/16 20:09",0
"460","B",0,"6/5/16 20:10",0
"461","B",0,"6/5/16 20:13",0
"462","A",0,"6/5/16 20:27",0
"463","B",0,"6/5/16 20:29",0
"464","A",0,"6/5/16 20:31",0
"465","A",0,"6/5/16 20:33",0
"466","A",0,"6/5/16 20:44",0
"467","B",0,"6/5/16 20:46",0
"468","B",0,"6/5/16 20:50",0
"469","B",0,"6/5/16 20:52",0
"470","A",0,"6/5/16 20:56",0
"471","A",0,"6/5/16 20:56",0
"472","B",0,"6/5/16 21:36",0
"473","A",0,"6/5/16 21:45",1
"474","A",0,"6/5/16 22:09",0
"475","A",0,"6/5/16 22:15",0
"476","B",0,"6/5/16 22:18",0
"477","A",0,"6/5/16 22:21",0
"478","A",0,"6/5/16 22:21",0
"479","A",0,"6/5/16 22:22",0
"480","B",0,"6/5/16 22:29",0
"481","B",1,"6/5/16 22:37",0
"482","B",0,"6/5/16 22:43",0
"483","A",0,"6/5/16 23:02",0
"484","B",0,"6/5/16 23:02",0
"485","B",0,"6/5/16 23:08",0
"486","A",0,"6/5/16 23:27",0
"487","B",0,"6/5/16 23:48",0
"488","A",0,"6/5/16 23:51",0
"489","A",0,"6/5/16 23:57",0
"490","B",0,"6/6/16 0:22",0
"491","B",0,"6/6/16 0:44",0
"492","A",0,"6/6/16 0:58",0
"493","B",0,"6/6/16 1:39",1
"494","A",0,"6/6/16 1:42",0
"495","A",0,"6/6/16 2:05",1
"496","A",0,"6/6/16 2:20",0
"497","A",0,"6/6/16 2:46",0
"498","A",0,"6/6/16 7:31",0
