"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394758,2019-02-28,"La Grande, OR","OR",743,188500,-0.00211752249867655,0.00319318786588611,0.120689655172414,0.0612963332892444,0.0311539015580966,"2019-01","2019-Q1",188900,-0.00211752249867655,"2018-12"
394649,2019-02-28,"Greensburg, IN","IN",744,138000,0.00583090379008746,0.010989010989011,0.144278606965174,0.0971648162313574,,"2019-02","2019-Q1",138000,0,"2019-02"
394854,2019-02-28,"Mexico, MO","MO",745,104100,0.00579710144927536,0.0146198830409357,0.0633299284984678,0.0674859275066244,0.0283657400521655,"2019-02","2019-Q1",104100,0,"2019-02"
394869,2019-02-28,"Moberly, MO","MO",746,103300,0.00193986420950533,0.0147347740667976,0.0782881002087683,0.0561742016239302,0.0232357764903524,"2019-02","2019-Q1",103300,0,"2019-02"
753923,2019-02-28,"The Dalles, OR","OR",747,252100,-0.000396510705789056,0.0214748784440843,0.073679727427598,0.0850750219204415,0.0321584418477798,"2019-01","2019-Q1",252200,-0.000396510705789056,"2019-01"
394529,2019-02-28,"Deming, NM","NM",748,105100,0.00960614793467819,0.0115495668912416,0.0846233230134159,0.0473391382345554,,"2013-07","2013-Q3",105700,-0.00567644276253548,
394615,2019-02-28,"Fredericksburg, TX","TX",749,309400,-0.000323101777059774,0.0111111111111111,0.0929000353232073,0.0801769728426027,0.0422249557456467,"2019-01","2019-Q1",309500,-0.000323101777059774,"2019-01"
394436,2019-02-28,"Campbellsville, KY","KY",750,106100,0.000943396226415094,-0.00188146754468485,0.0281007751937985,0.0397770514382194,0.0206337553931999,"2018-11","2018-Q4",106300,-0.00188146754468485,"2018-11"
394494,2019-02-28,"Connersville, IN","IN",751,74400,0,0.0177838577291382,0.219672131147541,0.0681784959232148,0.0167712052943174,"2006-07","2006-Q3",79000,-0.0582278481012658,"2005-08"
394533,2019-02-28,"Dickinson, ND","ND",752,250500,0.00521669341894061,0.0287474332648871,0.0489949748743719,0.0308443445796629,0.0551802779463413,"2016-05","2016-Q2",266700,-0.0607424071991001,"2015-08"
394674,2019-02-28,"Heber, UT","UT",753,447100,0.00630204816565384,0.0359128822984245,0.109154056065492,0.0828539062573823,0.0389197780274009,"2019-02","2019-Q1",447100,0,"2019-02"
753921,2019-02-28,"Steamboat Springs, CO","CO",754,508700,0.00355099625172618,0.0249848881724763,0.101082251082251,0.0722539526640971,0.0203701030801893,"2008-01","2008-Q1",534200,-0.0477349307375515,"2007-11"
394793,2019-02-28,"Liberal, KS","KS",755,107800,-0.00736648250460405,-0.0235507246376812,-0.0305755395683453,0.0416599752678442,0.020501409446084,"2018-08","2018-Q3",113500,-0.0502202643171806,"2017-05"
394784,2019-02-28,"Levelland, TX","TX",756,107800,-0.00185185185185185,0.0027906976744186,0.0486381322957199,0.0625298474344815,0.0413314548378598,"2019-01","2019-Q1",108000,-0.00185185185185185,"2018-12"
395198,2019-02-28,"Wahpeton, ND","ND",757,128200,0.00078064012490242,-0.0031104199066874,0.0388978930307942,0.0439350934287075,0.0414610097301538,"2018-10","2018-Q4",129200,-0.00773993808049536,"2018-09"
394959,2019-02-28,"Pampa, TX","TX",758,81100,0.00123456790123457,0.00745341614906832,0.0464516129032258,0.0446111369762876,0.0255764281765911,"2019-02","2019-Q1",81100,0,"2019-02"
395241,2019-02-28,"Yankton, SD","SD",759,169700,0.00414201183431953,0.0210589651022864,0.0372860635696821,0.0395249900593455,0.03145728863996,"2019-02","2019-Q1",169700,0,"2019-02"
395227,2019-02-28,"Williston, ND","ND",760,240600,0.00711594809543742,0.0330613997423787,0.093139482053612,0.0912218310680561,0.109393463802258,"2019-02","2019-Q1",240600,0,"2019-02"
394418,2019-02-28,"Brookings, OR","OR",761,313800,-0.000636942675159236,0.0231496576459081,0.0735545672254533,0.0519500801835726,0.0133596816041963,"2007-03","2007-Q1",320200,-0.0199875078076202,"2006-02"
394687,2019-02-28,"Hood River, OR","OR",762,449500,-0.00221975582685905,0.0142148014440433,0.0766467065868263,0.089065291525336,0.0436184859852562,"2019-01","2019-Q1",450500,-0.00221975582685905,"2019-01"
394371,2019-02-28,"Beatrice, NE","NE",763,109100,-0.00456204379562044,0,0.064390243902439,0.0556994246318967,0.0258805693672348,"2018-12","2018-Q4",109700,-0.00546946216955333,"2018-11"
394564,2019-02-28,"Elk City, OK","OK",764,92700,0.00433369447453954,0.0120087336244541,0.123636363636364,0.0509650829827517,0.0382310910135861,"2019-02","2019-Q1",92700,0,"2019-02"
394656,2019-02-28,"Grenada, MS","MS",765,95800,0,-0.00104275286757039,-0.00104275286757039,0.0215802107499077,,"2018-05","2018-Q2",96100,-0.00312174817898023,"2018-02"
394544,2019-02-28,"Dumas, TX","TX",766,122200,-0.00163398692810458,0.00908340214698596,0.0940017905102954,0.063552600551338,,"2019-01","2019-Q1",122400,-0.00163398692810458,"2019-01"
753914,2019-02-28,"Port Lavaca, TX","TX",767,140000,-0.0014265335235378,0.0137581462708182,0.096319498825372,0.0741602296900767,0.0426527942767669,"2019-01","2019-Q1",140200,-0.0014265335235378,"2019-01"
394578,2019-02-28,"Evanston, WY","WY",768,206200,-0.00145278450363196,-0.00960614793467819,0.00243072435585805,0.0206146474503772,0.0170072549479503,"2018-08","2018-Q3",214200,-0.0373482726423903,"2018-03"
394718,2019-02-28,"Jamestown, ND","ND",769,162000,0.00123609394313968,0.00123609394313968,0.0391276459268762,0.055088140904656,0.0563891125167484,"2019-02","2019-Q1",162000,0,"2019-02"
395004,2019-02-28,"Prineville, OR","OR",770,244800,0.0057518488085456,0.0149253731343284,0.0579083837510804,0.102773050359017,0.0372593845050406,"2019-02","2019-Q1",244800,0,"2019-02"
395135,2019-02-28,"Storm Lake, IA","IA",771,110600,-0.00539568345323741,-0.00807174887892377,0.0790243902439024,0.0543128198951122,0.0344818871177037,"2018-12","2018-Q4",111600,-0.00896057347670251,"2018-10"
395236,2019-02-28,"Woodward, OK","OK",772,100300,-0.00298210735586481,-0.00099601593625498,0.0866738894907909,0.0441861162982613,0.0296317154062393,"2018-12","2018-Q4",100800,-0.00496031746031746,"2018-11"
753908,2019-02-28,"Othello, WA","WA",773,167100,-0.0035778175313059,-0.0118273211117682,0.0270436385986478,0.0702516294087525,0.0294532847632734,"2018-10","2018-Q4",170200,-0.018213866039953,"2018-09"
394805,2019-02-28,"Los Alamos, NM","NM",774,311500,0.0103795004865391,0.0189728491985607,0.0880195599022005,0.04614379951563,0.00960575655990414,"2007-09","2007-Q3",315900,-0.0139284583729028,"2006-12"
394342,2019-02-28,"Atchison, KS","KS",775,102400,0.000977517106549365,0.0847457627118644,0.117903930131004,0.0514008578992609,,"2019-02","2019-Q1",102400,0,"2019-02"
395112,2019-02-28,"Spirit Lake, IA","IA",776,221600,-0.0018018018018018,0.00453309156844968,0.0036231884057971,0.045615961237943,0.0342757154923763,"2018-03","2018-Q1",222100,-0.00225123818099955,"2018-03"
395111,2019-02-28,"Spencer, IA","IA",777,124500,-0.00160384923817161,0.00565428109854604,0.0488626790227464,0.0454297112031892,0.027195812583755,"2019-01","2019-Q1",124700,-0.00160384923817161,"2019-01"
753925,2019-02-28,"Vineyard Haven, MA","MA",778,810800,-0.00221511198621708,0.00520704190428961,0.0493076226219749,0.057732165999651,0.0312220170671309,"2019-01","2019-Q1",812600,-0.00221511198621708,"2018-12"
395142,2019-02-28,"Sweetwater, TX","TX",779,72200,-0.00960219478737997,-0.0334672021419009,0.0776119402985075,0.0753917392893935,0.0458842601722178,"2018-11","2018-Q4",74700,-0.0334672021419009,"2018-10"
394767,2019-02-28,"Lamesa, TX","TX",780,78100,-0.00255427841634738,-0.00762388818297332,0.0344370860927152,0.0830885118836912,0.0498831839441329,"2018-11","2018-Q4",78700,-0.00762388818297332,"2018-10"
395188,2019-02-28,"Vernon, TX","TX",781,65900,0.00457317073170732,0.0264797507788162,0.0983333333333333,0.0477145672667436,0.0275859787274237,"2019-02","2019-Q1",65900,0,"2019-02"
394743,2019-02-28,"Ketchikan, AK","AK",782,286100,-0.00069856793573175,-0.0048695652173913,0.0232474964234621,0.0381115521509146,0.0230938704174264,"2018-11","2018-Q4",287500,-0.0048695652173913,"2018-10"
