RESPNUM,CCGID,BAREA,GATE,STRATA,CATEGORY,INTDATE,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,MINUTES,Q2PURP1,Q3GETTO1,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q5NOTBUY,Q6NOFOOD,Q7FLYPERYR,SAQ,Q8A_ART,Q8B_FOOD,Q8C_SHOP,Q8D_SIGNS,Q8E_WALK,Q8F_SCREENS,Q8G_INFOARR,Q8H_INFODEP,Q8I_ROAD,Q8J_PARK,Q8K_AIRTRAIN,Q8L_LTPARK,Q8M_RENTAL,Q8N_WHOLE,Q10A_CLNBOARD,Q10B_CLNPARK,Q10C_CLNAIRTRAIN,Q10D_CLNRENT,Q10E_CLNFOOD,Q10F_CLNBATH,Q11SAFE,Q12_USEWEB,Q13_RATEWEB,Q14WHEREDEPART,Q14RATEGETTO,Q15A_FIND,Q15B_SECURITY,Q16_PROBLEM,Q17REGION,Q18ZIP,Q18COUNTRY,HOME,Q19_AGE,Q20_SEX,Q21_INCOME,LANG
3757,3395,B,24,1,1,2,8,303,86,1,3,8:30,10:10,100,1,9,,2,2,1,2,2,2,2,3,1,3,4,4,4,6,6,3,6,4,6,4,3,3,6,3,3,3,3,3,2,,5,3,3,3,2,3,98042-01-01T00:00:00,US,10,4,1,4,1
3758,3396,B,24,1,1,2,8,303,86,1,3,8:15,10:10,115,2,3,,2,2,2,1,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,5,5,5,3,,11,6,6,0,2,4,92253-01-01T00:00:00,US,10,3,1,1,1
3760,3398,B,24,1,1,2,8,303,86,1,3,8:30,10:10,100,1,1,1,1,0,0,2,2,5,2,3,3,3,4,4,4,3,3,5,4,6,6,4,4,4,5,6,6,4,4,5,2,,5,5,0,4,2,1,94106-01-01T00:00:00,US,1,4,2,4,1
3761,3399,B,24,1,1,2,8,303,86,1,3,N,10:10,,1,4,,2,2,2,1,2,3,2,3,3,2,3,3,3,3,3,3,3,4,6,6,3,3,6,4,6,3,3,4,2,,5,4,3,3,2,3,98119-01-01T00:00:00,US,10,4,1,4,1
3762,3400,B,24,1,1,2,8,303,86,1,3,8:00,10:10,130,1,1,3,1,1,1,2,2,1,2,5,4,4,5,5,5,5,5,6,6,6,6,6,5,5,5,6,6,5,5,5,2,,1,0,5,5,2,1,94566-01-01T00:00:00,US,3,6,2,0,1
3763,3401,B,24,1,1,2,8,303,86,1,3,8:55,10:10,75,3,7,,2,0,0,2,2,3,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,3,0,0,4,2,,12,0,4,4,2,3,,US,10,7,2,3,1
3764,3117,D,56,3,2,15,9,618,18,3,4,17:00,18:15,75,1,9,,1,2,1,2,2,3,1,4,5,5,5,3,4,6,6,3,6,5,6,5,4,5,6,5,4,5,5,5,2,,24,5,5,4,0,3,60661-01-01T00:00:00,US,11,3,2,4,1
3765,3118,D,56,3,2,15,9,618,18,3,4,15:30,18:15,165,2,9,,1,2,2,1,2,1,1,6,4,3,5,5,4,6,3,5,6,5,3,4,4,5,6,5,5,6,3,0,1,2,4,5,5,4,0,3,60654-01-01T00:00:00,US,11,3,2,2,1
3766,3119,D,56,3,2,15,9,618,18,3,4,17:00,18:15,75,3,5,,1,2,2,2,2,3,2,3,6,6,4,5,4,6,6,6,6,5,6,4,5,5,6,5,4,6,5,5,2,,5,5,5,5,2,3,60646-01-01T00:00:00,US,11,6,1,4,1
3767,3120,D,56,3,2,15,9,618,18,3,4,17:00,18:15,75,3,2,,2,2,0,2,2,1,2,4,4,4,5,4,5,4,4,5,4,6,6,6,5,4,4,6,6,4,5,4,2,,6,5,5,5,2,3,60639-01-01T00:00:00,US,11,2,1,1,1
3768,3121,D,56,3,2,15,9,618,18,3,4,15:15,18:15,180,1,9,,2,2,2,2,2,4,2,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,2,,7,4,4,3,2,3,60062-01-01T00:00:00,US,11,3,1,3,1
3769,3122,D,56,3,2,15,9,618,18,3,4,16:45,18:15,90,1,9,,2,2,2,2,2,3,2,5,4,3,4,3,4,6,6,4,6,4,6,3,4,5,0,4,3,4,4,5,2,,7,3,5,4,2,3,19067-01-01T00:00:00,US,12,5,1,4,1
3770,3123,D,56,3,2,15,9,618,18,3,4,16:20,18:15,115,1,9,,2,1,3,2,2,2,2,5,6,5,4,5,5,6,6,2,6,5,6,3,5,5,6,5,3,6,4,5,2,,5,4,5,3,2,3,60618-01-01T00:00:00,US,11,3,1,2,1
3771,3124,D,56,3,2,15,9,618,18,3,4,15:40,18:15,155,2,6,,2,2,2,1,1,1,2,4,4,4,4,4,4,4,4,4,0,0,0,0,4,5,0,0,0,5,5,4,2,,5,5,5,4,2,3,60148-01-01T00:00:00,US,11,5,1,1,1
3772,3125,D,56,3,2,15,9,618,18,3,4,17:00,18:15,75,1,2,,2,1,1,2,2,5,2,5,4,4,4,4,4,4,4,5,5,0,0,0,5,5,3,0,0,5,5,5,1,3,7,5,5,5,2,1,95014-01-01T00:00:00,US,4,4,1,0,1
3773,3126,D,56,3,2,15,9,618,18,3,4,16:00,18:15,135,6,1,4,0,0,1,2,2,2,2,4,4,4,5,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,1,4,7,5,5,5,2,1,94087-01-01T00:00:00,US,4,2,0,1,1
3775,3104,D,55,3,2,15,9,1943,50,1,4,18:35,19:50,75,2,13,,2,2,1,2,2,1,1,5,5,6,5,6,4,0,0,6,6,6,6,6,5,5,6,6,6,5,5,5,2,,3,5,5,5,2,1,94901-01-01T00:00:00,US,6,6,2,4,1
3776,3105,D,55,3,2,15,9,1943,50,1,4,17:30,19:50,140,2,9,,1,2,1,2,2,2,1,5,4,6,5,5,6,6,6,2,6,5,6,5,5,5,6,5,5,5,5,5,2,,9,3,5,5,2,3,,US,12,4,2,4,1
3778,3107,D,55,3,2,15,9,1943,50,1,4,18:00,19:50,110,3,5,,1,2,2,2,2,2,1,6,6,6,5,6,6,6,5,6,6,4,0,0,5,5,6,5,6,6,6,5,2,,1,4,5,5,2,1,94704-01-01T00:00:00,US,3,1,2,1,1
3779,3108,D,55,3,2,15,9,1943,50,1,4,16:00,19:50,230,1,1,0,1,0,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,1,5,23,5,5,5,2,2,,US,10,2,1,1,1
3780,3109,D,55,3,2,15,9,1943,50,1,4,16:35,19:50,195,2,9,,0,0,1,2,1,1,2,5,5,6,5,5,5,6,6,4,6,5,6,2,4,5,6,5,5,5,5,5,1,5,24,5,5,5,2,3,91025-01-01T00:00:00,US,10,6,2,1,1
3781,3110,D,55,3,2,15,9,1943,50,1,4,17:30,19:50,140,1,4,,2,2,1,2,2,1,2,6,5,6,4,6,6,6,6,6,6,6,6,6,4,5,6,6,6,5,6,4,2,,5,3,5,5,2,3,90015-01-01T00:00:00,US,10,3,1,3,1
3784,3113,D,55,3,2,15,9,1943,50,1,4,16:45,19:50,185,2,1,4,1,2,1,2,2,3,2,4,3,3,4,5,5,6,6,4,3,5,4,4,4,5,6,5,4,5,5,5,2,,18,3,5,5,2,2,95525-01-01T00:00:00,US,10,7,1,0,1
3785,3114,D,55,3,2,15,9,1943,50,1,4,N,19:50,,1,2,,1,2,2,1,2,3,2,5,3,3,5,5,5,5,5,4,6,6,6,6,4,5,6,6,6,3,4,4,2,,6,5,4,3,2,1,94080-01-01T00:00:00,US,2,2,2,4,1
3786,3115,D,55,3,2,15,9,1943,50,1,4,18:15,19:50,95,3,2,,1,2,2,2,2,4,2,5,5,5,5,5,4,0,0,0,0,5,0,0,5,5,0,5,0,5,5,3,2,,2,3,5,5,2,3,,US,10,3,2,0,1
3788,2366,G,101,2,3,13,33,837,94,8,3,7:30,11:01,211,1,3,,0,1,1,2,2,1,2,6,3,4,4,4,3,6,6,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,11,6,3,6,2,4,75013-01-01T00:00:00,US,11,5,1,4,1
3789,2367,G,101,2,3,13,33,837,94,8,3,8:40,11:01,141,2,3,,2,2,2,2,2,1,1,6,6,6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,2,,11,6,6,6,2,4,80917-01-01T00:00:00,US,10,7,1,1,1
3792,2370,G,101,2,3,13,33,837,94,8,3,8:50,11:01,131,1,3,,2,2,1,2,2,2,2,0,4,0,5,5,5,6,6,6,6,6,6,6,4,5,6,6,0,5,5,5,2,,11,6,5,6,2,4,7722-01-01T00:00:00,US,12,6,1,4,1
3793,2371,G,101,2,3,13,33,837,94,8,3,7:00,11:01,241,1,3,,2,2,2,2,2,3,2,3,3,3,4,4,4,6,6,2,3,2,3,2,4,3,6,2,2,3,3,5,2,,11,3,4,6,2,4,,US,11,5,1,4,1
3794,2372,G,101,2,3,13,33,837,94,8,3,9:00,11:01,121,1,2,,2,1,2,2,2,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,,8,0,0,0,2,1,94591-01-01T00:00:00,US,8,6,2,2,4
3797,2375,G,101,2,3,13,33,837,94,8,3,8:30,11:01,151,3,2,,1,2,2,2,2,1,1,3,4,3,3,4,4,6,0,6,6,6,6,6,3,3,6,6,6,3,3,4,2,,1,4,4,1,2,1,94602-01-01T00:00:00,US,3,5,2,1,4
3798,2376,G,101,2,3,13,33,837,94,8,3,21:00,11:01,839,3,3,,2,2,2,2,2,1,1,3,6,6,3,3,3,6,6,6,6,6,6,6,4,5,6,6,6,6,4,4,2,,11,6,2,6,1,4,89119-01-01T00:00:00,US,10,2,1,1,4
3799,2377,G,101,2,3,13,33,837,94,8,3,8:45,11:01,136,3,2,,2,1,2,1,2,2,1,2,6,3,4,5,5,4,5,4,4,6,6,6,3,5,6,6,6,6,5,5,2,,1,5,5,3,2,1,94702-01-01T00:00:00,US,3,7,2,4,4
